Audience,Category,Service / Item,Price,Notes
Women,COMBO PACKAGE 1,"Fruit Facial, Bleach, Clean Up",700,
Women,COMBO PACKAGE 1,Threading & Upperlips,,
Women,COMBO PACKAGE 2,Oxy Bleach & Clean Up,1000,
Women,COMBO PACKAGE 2,Normal Wax Full Legs & Arms,,
Women,COMBO PACKAGE 2,Threading & Upperlips,,
Women,COMBO PACKAGE 3,VLCC Bleach & Clean Up,1500,
Women,COMBO PACKAGE 3,Chocolate Wax Full Legs & Arms,,
Women,COMBO PACKAGE 3,Threading & Upperlips,,
Women,COMBO PACKAGE 3,Head Wash,,
Women,COMBO PACKAGE 4,Oxy Advance Bleach,2100,
Women,COMBO PACKAGE 4,Lotus Facial,,
Women,COMBO PACKAGE 4,Chocolate Wax Full Legs & Arms,,
Women,COMBO PACKAGE 4,Upper Lips & Threading,,
Women,COMBO PACKAGE 4,Head Wash,,
Women,COMBO PACKAGE 5,O3 Bleach & Facial,2800,
Women,COMBO PACKAGE 5,Rica Wax Full Legs & Arms,,
Women,COMBO PACKAGE 5,Pedicure,,
Women,COMBO PACKAGE 5,Head Wash,,
Women,COMBO PACKAGE 5,Threading & Upperlips,,
Women,COMBO PACKAGE 6,O3 Facial Advance,3800,
Women,COMBO PACKAGE 6,Manicure & Pedicure,,
Women,COMBO PACKAGE 6,Upper Lips & Threading,,
Women,COMBO PACKAGE 6,Head Wash,,
Women,COMBO PACKAGE 6,Rica Wax Full Legs & Arms,,
Women,COMBO PACKAGE 6,D - Tan Bleach,,
Women,CLEAN UP,Normal (Fruit),450,
Women,CLEAN UP,Oxylife / VLCC,650,
Women,CLEAN UP,Lotus / O3,900,
Women,CLEAN UP,Regular,1000,
Women,CLEAN UP,Korean Advance,1800,
Women,CLEAN UP,Casmara,2500,
Women,CLEAN UP,Luxury,3000,
Women,FACIALS,Normal Facial (Fruit),700,
Women,FACIALS,BlossomK / Oxylife / VLCC,800,
Women,FACIALS,Lotus / O3,1000,
Women,FACIALS,Regular,1400,
Women,FACIALS,O3 Advance,1800,
Women,FACIALS,Korean Advance,3500,
Women,FACIALS,O3 Agelock,3500,
Women,FACIALS,Casmara,5000,
Women,FACIALS,Vitamin C,4000,
Women,FACIALS,Ultra Relaxing,4500,
Women,FACIALS,Hydra,5000,
Women,FACIALS,Luxury,6000,
Women,BLEACH,Oxy - Bleach,250,
Women,BLEACH,Oxy Advance/VLCC FYC,350,
Women,BLEACH,O3 Bleach,450,
Women,BLEACH,D- Tan Bleach,500,
Women,BLEACH,D-Tan,550,
Women,D-TAN,Raaga / Sara / Oxy,350,
